(1)838|(1)838|[]
(1)911|(1)911|[]
(1)912|(1)912|[]
(1)921|(1)921|[]
(1)924|(1)924|[]
(1)926|(1)926|[]
(1)927|(1)927|[]
(1)930|(1)930|[]
(1)931|(1)931|[]
(1)932|(1)932|[]
(1)935|(1)935|[]
(1)937|(1)937|[]
(1)938|(1)938|[]
(15)80|(15)80|[https://dbpedia.org/page/1st_century]
(16)98|(16)98|[https://dbpedia.org/page/1st_century]
(17)70|(17)70|[https://dbpedia.org/page/1st_century]
(1789 - 1797)|(1789 - 1797)|[https://dbpedia.org/page/18th_century]
(18)96|(18)96|[https://dbpedia.org/page/1st_century]
(1871 - 1956)|(1871 - 1956)|[https://dbpedia.org/page/19th_century, https://dbpedia.org/page/20th_century]
(19) 14|(19) 14|[https://dbpedia.org/page/1st_century]
(19)08|(19)08|[https://dbpedia.org/page/1st_century]
(19)27|(19)27|[https://dbpedia.org/page/1st_century]
(19)28|(19)28|[https://dbpedia.org/page/1st_century]
(19)38|(19)38|[https://dbpedia.org/page/1st_century]
(19)45|(19)45|[https://dbpedia.org/page/1st_century]
(fals după) 1906|(fals dupa) 1906|[https://dbpedia.org/page/20th_century]
(sec. xviii ?)|(sec. xviii ?)|[https://dbpedia.org/page/18th_century]
-|-|[]
1/4 sec. xxiii|1/4 sec. xxiii|[http://opendata.cs.pub.ro/resource/timespan/unknown//century]
1/4 sec. xx|1/4 sec. xx|[https://dbpedia.org/page/20th_century]
1/4 sec.xix|1/4 sec.xix|[https://dbpedia.org/page/19th_century]
1/4 sec.xviii|1/4 sec.xviii|[https://dbpedia.org/page/18th_century]
1/4 sec.xvii|1/4 sec.xvii|[https://dbpedia.org/page/17th_century]
1/4 sec.xvi|1/4 sec.xvi|[https://dbpedia.org/page/16th_century]
1/4 sec.xx. primul sfert al sec. al xx-lea.|1/4 sec.xx. primul sfert al sec. al xx-lea.|[https://dbpedia.org/page/20th_century]
1/4 sec.xx. primul sfert al sec.al xx-lea.|1/4 sec.xx. primul sfert al sec.al xx-lea.|[https://dbpedia.org/page/20th_century]
1/4 sec.xx. îmnceputul sec. al xx-lea.|1/4 sec.xx. imnceputul sec. al xx-lea.|[https://dbpedia.org/page/20th_century]
1/4 sec.xx. începutul sec. al xx-lea.|1/4 sec.xx. inceputul sec. al xx-lea.|[https://dbpedia.org/page/20th_century]
1/4 sec.xx. începutul sec.al xx-lea.|1/4 sec.xx. inceputul sec.al xx-lea.|[https://dbpedia.org/page/20th_century]
1/4 sec.xx.|1/4 sec.xx.|[https://dbpedia.org/page/20th_century]
1/4 sec.xx|1/4 sec.xx|[https://dbpedia.org/page/20th_century]
1/4 secolul al xix-lea|1/4 secolul al xix-lea|[https://dbpedia.org/page/19th_century]
1/4 secolul al xviii-lea|1/4 secolul al xviii-lea|[https://dbpedia.org/page/18th_century]
1/4 secolul al xx-lea|1/4 secolul al xx-lea|[https://dbpedia.org/page/20th_century]
1/4 secolul xx|1/4 secolul xx|[https://dbpedia.org/page/20th_century]
1/4 xx|1/4 xx|[https://dbpedia.org/page/20th_century]
10 decembrie 1647|10 decembrie 1647|[https://dbpedia.org/page/17th_century]
10 iunie - 15 octombrie 1382|10 iunie - 15 octombrie 1382|[https://dbpedia.org/page/14th_century, https://dbpedia.org/page/1st_century]
10 iunie 1672|10 iunie 1672|[https://dbpedia.org/page/17th_century]
10 mai 1589|10 mai 1589|[https://dbpedia.org/page/16th_century]
10 mai 1877|10 mai 1877|[https://dbpedia.org/page/19th_century]
10 mai 1881|10 mai 1881|[https://dbpedia.org/page/19th_century]
10 mai 1902|10 mai 1902|[https://dbpedia.org/page/20th_century]
10 mai 1906|10 mai 1906|[https://dbpedia.org/page/20th_century]
10 martie 1868|10 martie 1868|[https://dbpedia.org/page/19th_century]
10 noiembrie 1805|10 noiembrie 1805|[https://dbpedia.org/page/19th_century]
10 octombrie 1721|10 octombrie 1721|[https://dbpedia.org/page/18th_century]
10 octombrie 1855|10 octombrie 1855|[https://dbpedia.org/page/19th_century]
10-11 iunie 1876|10-11 iunie 1876|[https://dbpedia.org/page/19th_century, https://dbpedia.org/page/1st_century]
10.01.1905|10.01.1905|[https://dbpedia.org/page/20th_century]
10.04.1910|10.04.1910|[https://dbpedia.org/page/20th_century]
10.06.1928|10.06.1928|[https://dbpedia.org/page/20th_century]
10.08.1929|10.08.1929|[https://dbpedia.org/page/20th_century]
10.12.1881|10.12.1881|[https://dbpedia.org/page/19th_century]
10.12.1927|10.12.1927|[https://dbpedia.org/page/20th_century]
100 a. chr.|100 __BC__|[https://dbpedia.org/page/1st_century_BC]
100 a.chr.|100 __BC__|[https://dbpedia.org/page/1st_century_BC]
100 p. chr|100 __AD__|[https://dbpedia.org/page/1st_century]
100 p.chr.|100 __AD__|[https://dbpedia.org/page/1st_century]
100 î.chr.|100 __BC__|[https://dbpedia.org/page/1st_century_BC]
100 î.hr.|100 __BC__|[https://dbpedia.org/page/1st_century_BC]
100|100|[https://dbpedia.org/page/1st_century]
101 a.chr.|101 __BC__|[https://dbpedia.org/page/2nd_century_BC]
101-102 p.chr.|101-102 __AD__|[https://dbpedia.org/page/2nd_century]
101-102|101-102|[https://dbpedia.org/page/2nd_century]
102 - 117 d. chr.|102 - 117 __AD__|[https://dbpedia.org/page/2nd_century]
102 a. chr.|102 __BC__|[https://dbpedia.org/page/2nd_century_BC]
102 a.chr.|102 __BC__|[https://dbpedia.org/page/2nd_century_BC]
102 î.chr.|102 __BC__|[https://dbpedia.org/page/2nd_century_BC]
103 - 111|103 - 111|[https://dbpedia.org/page/2nd_century]
103 a.chr.|103 __BC__|[https://dbpedia.org/page/2nd_century_BC]
103 î.chr.|103 __BC__|[https://dbpedia.org/page/2nd_century_BC]
103-111 p.chr.|103-111 __AD__|[https://dbpedia.org/page/2nd_century]
103-111|103-111|[https://dbpedia.org/page/2nd_century]
103-112 p.chr.|103-112 __AD__|[https://dbpedia.org/page/2nd_century]
104 a. chr.|104 __BC__|[https://dbpedia.org/page/2nd_century_BC]
104 a.chr.|104 __BC__|[https://dbpedia.org/page/2nd_century_BC]
104 î.chr.|104 __BC__|[https://dbpedia.org/page/2nd_century_BC]
105 a. chr.|105 __BC__|[https://dbpedia.org/page/2nd_century_BC]
105 a.chr.|105 __BC__|[https://dbpedia.org/page/2nd_century_BC]
105 î.chr.|105 __BC__|[https://dbpedia.org/page/2nd_century_BC]
106 a.chr.|106 __BC__|[https://dbpedia.org/page/2nd_century_BC]
106 î.chr.|106 __BC__|[https://dbpedia.org/page/2nd_century_BC]
1070 - 332 a.chr.|1070 - 332 __BC__|[https://dbpedia.org/page/10th_century_BC, https://dbpedia.org/page/11th_century_BC, https://dbpedia.org/page/4th_century_BC, https://dbpedia.org/page/5th_century_BC, https://dbpedia.org/page/6th_century_BC, https://dbpedia.org/page/7th_century_BC, https://dbpedia.org/page/8th_century_BC, https://dbpedia.org/page/9th_century_BC]
1070 – 332 a.chr.|1070 – 332 __BC__|[https://dbpedia.org/page/10th_century_BC, https://dbpedia.org/page/11th_century_BC, https://dbpedia.org/page/4th_century_BC, https://dbpedia.org/page/5th_century_BC, https://dbpedia.org/page/6th_century_BC, https://dbpedia.org/page/7th_century_BC, https://dbpedia.org/page/8th_century_BC, https://dbpedia.org/page/9th_century_BC]
1078-1081|1078-1081|[https://dbpedia.org/page/11th_century]
108 -107 a. chr.|108 -107 __BC__|[https://dbpedia.org/page/2nd_century_BC]
108 sau 107 a. chr.|108 sau 107 __BC__|[https://dbpedia.org/page/2nd_century, https://dbpedia.org/page/2nd_century_BC]
108 sau 107 a.chr.|108 sau 107 __BC__|[https://dbpedia.org/page/2nd_century, https://dbpedia.org/page/2nd_century_BC]
108 sau 107 î.chr.|108 sau 107 __BC__|[https://dbpedia.org/page/2nd_century, https://dbpedia.org/page/2nd_century_BC]
1081 - 1092|1081 - 1092|[https://dbpedia.org/page/11th_century]
109 a.chr.|109 __BC__|[https://dbpedia.org/page/2nd_century_BC]
109 sau 108 a. chr.|109 sau 108 __BC__|[https://dbpedia.org/page/2nd_century, https://dbpedia.org/page/2nd_century_BC]
109 sau 108 a.chr.|109 sau 108 __BC__|[https://dbpedia.org/page/2nd_century, https://dbpedia.org/page/2nd_century_BC]
109 sau 108 î.chr.|109 sau 108 __BC__|[https://dbpedia.org/page/2nd_century, https://dbpedia.org/page/2nd_century_BC]
109 sau 108 î.hr.|109 sau 108 __BC__|[https://dbpedia.org/page/2nd_century, https://dbpedia.org/page/2nd_century_BC]
109-108 a. chr.|109-108 __BC__|[https://dbpedia.org/page/2nd_century_BC]
11 aprilie 1796|11 aprilie 1796|[https://dbpedia.org/page/18th_century]
11 decembrie 1732|11 decembrie 1732|[https://dbpedia.org/page/18th_century]
11 decembrie 1741|11 decembrie 1741|[https://dbpedia.org/page/18th_century]
